2025-08-12T12:11:25.787|error|configs/config.go:47|msg=[configs] read file error%!(EXTRA *fs.PathError=open config.yaml: no such file or directory)
2025-08-12T12:11:25.787|error|configs/config.go:62|msg=[configs] parse error, %!(EXTRA *fs.PathError=open config.yaml: no such file or directory)
2025-08-12T12:15:30.778|fatal|mysql/initialize_mysql.go:24|msg=[DB] init failed, err=dial tcp: lookup tcp/%!s(int=22809): unknown port
2025-08-12T12:17:46.523|fatal|mysql/initialize_mysql.go:23|msg=[DB] init failed, err=dial tcp: lookup sh-cynosdbmysql-grp-javxeewu.sql.tencentcdb.com: i/o timeout
2025-08-12T12:18:47.541|fatal|mysql/initialize_mysql.go:23|msg=[DB] init failed, err=dial tcp: lookup sh-cynosdbmysql-grp-javxeewu.sql.tencentcdb.com: i/o timeout
2025-08-12T12:21:39.509|fatal|mysql/initialize_mysql.go:23|msg=[DB] init failed, err=dial tcp: lookup sh-cynosdbmysql-grp-javxeewu.sql.tencentcdb.com: i/o timeout
2025-08-12T12:23:40.491|info|mysql/initialize_mysql.go:50|msg=ffff root:@Zry960531@tcp(sh-cynosdbmysql-grp-javxeewu.sql.tencentcdb.com:22809)/live_chat?loc=Local&readTimeout=100ms&timeout=1s&writeTimeout=100ms&parseTime=true
2025-08-12T12:23:41.492|fatal|mysql/initialize_mysql.go:23|msg=[DB] init failed, err=dial tcp: lookup sh-cynosdbmysql-grp-javxeewu.sql.tencentcdb.com: i/o timeout
2025-08-12T12:26:36.602|fatal|mysql/initialize_mysql.go:23|msg=[DB] init failed, err=dial tcp: lookup sh-cynosdbmysql-grp-javxeewu.sql.tencentcdb.com: i/o timeout
2025-08-12T12:28:26.287|fatal|mysql/initialize_mysql.go:23|msg=[DB] init failed, err=dial tcp: lookup sh-cynosdbmysql-grp-javxeewu.sql.tencentcdb.com: i/o timeout
2025-08-12T12:30:18.986|fatal|mysql/initialize_mysql.go:23|msg=[DB] init failed, err=dial tcp: lookup sh-cynosdbmysql-grp-javxeewu.sql.tencentcdb.com: i/o timeout
2025-08-12T12:34:05.618|fatal|mysql/initialize_mysql.go:23|msg=[DB] init failed, err=dial tcp: lookup sh-cynosdbmysql-grp-javxeewu.sql.tencentcdb.com: i/o timeout
2025-08-12T12:36:26.677|fatal|mysql/initialize_mysql.go:26|msg=[DB] init failed, err=dial tcp: lookup sh-cynosdbmysql-grp-javxeewu.sql.tencentcdb.com: i/o timeout
2025-08-12T12:37:26.682|fatal|mysql/initialize_mysql.go:27|msg=[DB] init failed, err=dial tcp: lookup sh-cynosdbmysql-grp-javxeewu.sql.tencentcdb.com: i/o timeout
2025-08-12T12:39:40.411|fatal|mysql/initialize_mysql.go:27|msg=[DB] init failed, err=dial tcp: lookup sh-cynosdbmysql-grp-javxeewu.sql.tencentcdb.com: i/o timeout
2025-08-12T12:44:36.528|fatal|mysql/initialize_mysql.go:27|msg=[DB] init failed, err=dial tcp: lookup sh-cynosdbmysql-grp-javxeewu.sql.tencentcdb.com: i/o timeout
2025-08-12T12:47:11.724|fatal|mysql/initialize_mysql.go:27|msg=[DB] init failed, err=dial tcp: lookup sh-cynosdbmysql-grp-javxeewu.sql.tencentcdb.com: i/o timeout
2025-08-12T12:48:09.630|fatal|mysql/initialize_mysql.go:27|msg=[DB] init failed, err=dial tcp: lookup sh-cynosdbmysql-grp-javxeewu.sql.tencentcdb.com: i/o timeout
2025-08-12T12:48:37.473|fatal|mysql/initialize_mysql.go:27|msg=[DB] init failed, err=dial tcp: lookup sh-cynosdbmysql-grp-javxeewu.sql.tencentcdb.com: i/o timeout
2025-08-12T12:48:48.367|fatal|mysql/initialize_mysql.go:27|msg=[DB] init failed, err=dial tcp: lookup sh-cynosdbmysql-grp-javxeewu.sql.tencentcdb.com: i/o timeout
2025-08-12T12:52:52.468|fatal|mysql/initialize_mysql.go:27|msg=[DB] init failed, err=invalid DSN: missing the slash separating the database name
2025-08-12T12:53:40.825|fatal|mysql/initialize_mysql.go:26|msg=[DB] init failed, err=dial tcp: lookup sh-cynosdbmysql-grp-javxeewu.sql.tencentcdb.com: i/o timeout
2025-08-12T12:56:18.866|fatal|mysql/initialize_mysql.go:26|msg=[DB] init failed, err=dial tcp: lookup sh-cynosdbmysql-grp-javxeewu.sql.tencentcdb.com: i/o timeout
2025-08-12T12:56:24.377|fatal|mysql/initialize_mysql.go:26|msg=[DB] init failed, err=dial tcp: lookup sh-cynosdbmysql-grp-javxeewu.sql.tencentcdb.com: i/o timeout
2025-08-12T12:57:10.474|fatal|mysql/initialize_mysql.go:26|msg=[DB] init failed, err=dial tcp: lookup sh-cynosdbmysql-grp-javxeewu.sql.tencentcdb.com: i/o timeout
2025-08-12T12:57:14.274|fatal|mysql/initialize_mysql.go:26|msg=[DB] init failed, err=dial tcp: lookup sh-cynosdbmysql-grp-javxeewu.sql.tencentcdb.com: i/o timeout
2025-08-12T12:57:48.152|fatal|mysql/initialize_mysql.go:26|msg=[DB] init failed, err=dial tcp: lookup sh-cynosdbmysql-grp-javxeewu.sql.tencentcdb.com: i/o timeout
2025-08-12T12:57:51.136|fatal|mysql/initialize_mysql.go:26|msg=[DB] init failed, err=dial tcp: lookup sh-cynosdbmysql-grp-javxeewu.sql.tencentcdb.com: i/o timeout
2025-08-12T12:59:48.073|fatal|mysql/initialize_mysql.go:26|msg=[DB] init failed, err=dial tcp: lookup sh-cynosdbmysql-grp-javxeewu.sql.tencentcdb.com: i/o timeout
